FrameNum, Time [ms], Vection Response (0:no, 1: yes )
1, 0.0000, 0
2, 16.6667, 0
3, 33.3333, 0
4, 50.0000, 0
5, 66.6667, 0
6, 83.3333, 0
7, 100.0000, 0
8, 116.6667, 0
9, 133.3333, 0
10, 150.0000, 0
11, 166.6667, 0
12, 183.3333, 0
13, 200.0000, 0
14, 216.6667, 0
15, 233.3333, 0
16, 250.0000, 0
17, 266.6667, 0
18, 283.3334, 0
19, 300.0000, 0
20, 316.6667, 0
21, 333.3333, 0
22, 350.0000, 0
23, 366.6667, 0
24, 383.3333, 0
25, 400.0000, 0
26, 416.6667, 0
27, 433.3334, 0
28, 450.0000, 0
29, 466.6667, 0
30, 483.3333, 0
31, 500.0000, 0
32, 516.6667, 0
33, 533.3334, 0
34, 550.0000, 0
35, 566.6667, 0
36, 583.3334, 0
37, 600.0000, 0
38, 616.6667, 0
39, 633.3334, 0
40, 650.0001, 0
41, 666.6667, 0
42, 683.3334, 0
43, 700.0001, 0
44, 716.6667, 0
45, 733.3334, 0
46, 750.0001, 0
47, 766.6667, 0
48, 783.3334, 0
49, 800.0001, 0
50, 816.6667, 0
51, 833.3334, 0
52, 850.0000, 0
53, 866.6667, 0
54, 883.3334, 0
55, 900.0001, 0
56, 916.6667, 0
57, 933.3334, 0
58, 950.0001, 0
59, 966.6667, 0
60, 983.3334, 0
61, 1000.0000, 0
62, 1016.6670, 0
63, 1033.3330, 0
64, 1050.0000, 0
65, 1066.6670, 0
66, 1083.3330, 0
67, 1100.0000, 0
68, 1116.6670, 0
69, 1133.3330, 0
70, 1150.0000, 0
71, 1166.6670, 0
72, 1183.3330, 0
73, 1200.0000, 0
74, 1216.6670, 0
75, 1233.3330, 0
76, 1250.0000, 0
77, 1266.6670, 0
78, 1283.3330, 0
79, 1300.0000, 0
80, 1316.6670, 0
81, 1333.3330, 0
82, 1350.0000, 0
83, 1366.6670, 0
84, 1383.3330, 0
85, 1400.0000, 0
86, 1416.6670, 0
87, 1433.3330, 0
88, 1450.0000, 0
89, 1466.6670, 0
90, 1483.3330, 0
91, 1500.0000, 0
92, 1516.6670, 0
93, 1533.3330, 0
94, 1550.0000, 0
95, 1566.6670, 0
96, 1583.3330, 0
97, 1600.0000, 0
98, 1616.6670, 0
99, 1633.3330, 0
100, 1650.0000, 0
101, 1666.6670, 0
102, 1683.3330, 0
103, 1700.0000, 0
104, 1716.6670, 0
105, 1733.3330, 0
106, 1750.0000, 0
107, 1766.6670, 0
108, 1783.3330, 0
109, 1800.0000, 0
110, 1816.6670, 0
111, 1833.3330, 0
112, 1850.0000, 0
113, 1866.6670, 0
114, 1883.3330, 0
115, 1900.0000, 0
116, 1916.6670, 0
117, 1933.3330, 0
118, 1950.0000, 0
119, 1966.6670, 0
120, 1983.3330, 0
121, 2000.0000, 0
122, 2016.6670, 0
123, 2033.3330, 0
124, 2050.0000, 0
125, 2066.6670, 0
126, 2083.3330, 0
127, 2100.0000, 0
128, 2116.6670, 0
129, 2133.3330, 0
130, 2150.0000, 0
131, 2166.6670, 0
132, 2183.3330, 0
133, 2200.0000, 0
134, 2216.6670, 0
135, 2233.3330, 0
136, 2250.0000, 0
137, 2266.6670, 0
138, 2283.3330, 0
139, 2300.0000, 0
140, 2316.6670, 0
141, 2333.3330, 0
142, 2350.0000, 0
143, 2366.6670, 0
144, 2383.3330, 0
145, 2400.0000, 0
146, 2416.6670, 0
147, 2433.3330, 0
148, 2450.0000, 0
149, 2466.6670, 0
150, 2483.3330, 0
151, 2500.0000, 0
152, 2516.6670, 0
153, 2533.3330, 0
154, 2550.0000, 0
155, 2566.6670, 0
156, 2583.3330, 0
