FrameNum, Time, Vection Response
1, -10200.0000, 0
2, -10183.3300, 0
3, -10166.6700, 0
4, -10150.0000, 0
5, -10133.3300, 0
6, -10116.6700, 0
7, -10100.0000, 0
8, -10083.3300, 0
9, -10066.6700, 0
10, -10050.0000, 0
11, -10033.3300, 0
12, -10016.6700, 0
13, -10000.0000, 0
14, -9983.3330, 0
15, -9966.6670, 0
16, -9950.0000, 0
17, -9933.3330, 0
18, -9916.6670, 0
19, -9900.0000, 0
20, -9883.3330, 0
21, -9866.6670, 0
22, -9850.0000, 0
23, -9833.3330, 0
24, -9816.6670, 0
25, -9800.0000, 0
26, -9783.3330, 0
27, -9766.6670, 0
28, -9750.0000, 0
29, -9733.3330, 0
30, -9716.6670, 0
31, -9700.0000, 0
32, -9683.3330, 0
33, -9666.6670, 0
34, -9650.0000, 0
35, -9633.3330, 0
36, -9616.6670, 0
37, -9600.0000, 0
38, -9583.3330, 0
39, -9566.6670, 0
40, -9550.0000, 0
41, -9533.3330, 0
42, -9516.6670, 0
43, -9500.0000, 0
44, -9483.3330, 0
45, -9466.6670, 0
46, -9450.0000, 0
47, -9433.3330, 0
48, -9416.6670, 0
49, -9400.0000, 0
50, -9383.3330, 0
51, -9366.6670, 0
52, -9350.0000, 0
53, -9333.3330, 0
54, -9316.6670, 0
55, -9300.0000, 0
56, -9283.3330, 0
57, -9266.6670, 0
58, -9250.0000, 0
59, -9233.3330, 0
60, -9216.6670, 0
61, -9200.0000, 0
62, -9183.3330, 0
63, -9166.6670, 0
64, -9150.0000, 0
65, -9133.3330, 0
66, -9116.6670, 0
67, -9100.0000, 0
68, -9083.3330, 0
69, -9066.6660, 0
70, -9050.0000, 0
71, -9033.3330, 0
72, -9016.6670, 0
73, -9000.0000, 0
74, -8983.3330, 0
75, -8966.6670, 0
76, -8950.0000, 0
77, -8933.3330, 0
78, -8916.6670, 0
79, -8900.0000, 0
80, -8883.3330, 0
81, -8866.6670, 0
82, -8850.0000, 0
83, -8833.3330, 0
84, -8816.6660, 0
85, -8800.0000, 0
86, -8783.3330, 0
87, -8766.6670, 0
88, -8750.0000, 0
89, -8733.3330, 0
90, -8716.6660, 0
91, -8700.0000, 0
92, -8683.3330, 0
93, -8666.6670, 0
94, -8650.0000, 0
95, -8633.3330, 0
96, -8616.6670, 0
97, -8600.0000, 0
98, -8583.3330, 0
99, -8566.6660, 0
100, -8550.0000, 0
101, -8533.3330, 0
102, -8516.6670, 0
103, -8500.0000, 0
104, -8483.3330, 0
105, -8466.6660, 0
106, -8450.0000, 0
107, -8433.3330, 0
108, -8416.6670, 0
109, -8400.0000, 0
110, -8383.3330, 0
111, -8366.6670, 0
112, -8350.0000, 0
113, -8333.3330, 0
114, -8316.6660, 0
115, -8300.0000, 0
116, -8283.3330, 0
117, -8266.6670, 0
118, -8250.0000, 0
119, -8233.3330, 0
120, -8216.6660, 0
121, -8200.0000, 0
122, -8183.3330, 0
123, -8166.6670, 0
124, -8150.0000, 0
125, -8133.3330, 0
126, -8116.6670, 0
127, -8100.0000, 0
128, -8083.3330, 0
129, -8066.6670, 0
130, -8050.0000, 0
131, -8033.3330, 0
132, -8016.6670, 0
133, -8000.0000, 0
134, -7983.3330, 0
135, -7966.6670, 0
136, -7950.0000, 0
137, -7933.3330, 0
138, -7916.6670, 0
139, -7900.0000, 0
140, -7883.3330, 0
141, -7866.6670, 0
142, -7850.0000, 0
143, -7833.3330, 0
144, -7816.6670, 0
145, -7800.0000, 0
146, -7783.3330, 0
147, -7766.6670, 0
148, -7750.0000, 0
149, -7733.3330, 0
150, -7716.6670, 0
151, -7700.0000, 0
152, -7683.3330, 0
153, -7666.6670, 0
154, -7650.0000, 0
155, -7633.3330, 0
156, -7616.6670, 0
157, -7600.0000, 0
158, -7583.3330, 0
159, -7566.6670, 0
160, -7550.0000, 0
161, -7533.3330, 0
162, -7516.6670, 0
163, -7500.0000, 0
164, -7483.3330, 0
165, -7466.6670, 0
166, -7450.0000, 0
167, -7433.3330, 0
168, -7416.6670, 0
169, -7400.0000, 0
170, -7383.3330, 0
171, -7366.6670, 0
172, -7350.0000, 0
173, -7333.3330, 0
174, -7316.6670, 0
175, -7300.0000, 0
176, -7283.3330, 0
177, -7266.6670, 0
178, -7250.0000, 0
179, -7233.3330, 0
180, -7216.6670, 0
181, -7200.0000, 0
182, -7183.3330, 0
183, -7166.6670, 0
184, -7150.0000, 0
185, -7133.3330, 0
186, -7116.6670, 0
187, -7100.0000, 0
188, -7083.3330, 0
189, -7066.6670, 0
190, -7050.0000, 0
191, -7033.3330, 0
192, -7016.6670, 0
193, -7000.0000, 0
194, -6983.3330, 0
195, -6966.6670, 0
196, -6950.0000, 0
197, -6933.3330, 0
198, -6916.6670, 0
199, -6900.0000, 0
200, -6883.3330, 0
201, -6866.6670, 0
202, -6850.0000, 0
203, -6833.3330, 0
204, -6816.6670, 0
205, -6800.0000, 0
206, -6783.3330, 0
207, -6766.6670, 0
208, -6750.0000, 0
209, -6733.3330, 0
210, -6716.6670, 0
211, -6700.0000, 0
212, -6683.3330, 0
213, -6666.6670, 0
214, -6650.0000, 0
215, -6633.3330, 0
216, -6616.6670, 0
217, -6600.0000, 0
218, -6583.3330, 0
219, -6566.6670, 0
220, -6550.0000, 0
221, -6533.3330, 0
222, -6516.6660, 0
223, -6500.0000, 0
224, -6483.3330, 0
225, -6466.6670, 0
226, -6450.0000, 0
227, -6433.3330, 0
228, -6416.6670, 0
229, -6400.0000, 0
230, -6383.3330, 0
231, -6366.6670, 0
232, -6350.0000, 0
233, -6333.3330, 0
234, -6316.6670, 0
235, -6300.0000, 0
236, -6283.3330, 0
237, -6266.6660, 0
238, -6250.0000, 0
239, -6233.3330, 0
240, -6216.6670, 0
241, -6200.0000, 0
242, -6183.3330, 0
243, -6166.6660, 0
244, -6150.0000, 0
245, -6133.3330, 0
246, -6116.6670, 0
247, -6100.0000, 0
248, -6083.3330, 0
249, -6066.6670, 0
250, -6050.0000, 0
251, -6033.3330, 0
252, -6016.6670, 0
253, -6000.0000, 0
254, -5983.3330, 0
255, -5966.6670, 0
256, -5950.0000, 0
257, -5933.3330, 0
258, -5916.6660, 0
259, -5900.0000, 0
260, -5883.3330, 0
261, -5866.6670, 0
262, -5850.0000, 0
263, -5833.3330, 0
264, -5816.6670, 0
265, -5800.0000, 0
266, -5783.3330, 0
267, -5766.6670, 0
268, -5750.0000, 0
269, -5733.3330, 0
270, -5716.6670, 0
271, -5700.0000, 0
272, -5683.3330, 0
273, -5666.6660, 0
274, -5650.0000, 0
275, -5633.3330, 0
276, -5616.6670, 0
277, -5600.0000, 0
278, -5583.3330, 0
279, -5566.6670, 0
280, -5550.0000, 0
281, -5533.3330, 0
282, -5516.6670, 0
283, -5500.0000, 0
284, -5483.3330, 0
285, -5466.6670, 0
286, -5450.0000, 0
287, -5433.3330, 0
288, -5416.6660, 0
289, -5400.0000, 0
290, -5383.3330, 0
291, -5366.6670, 0
292, -5350.0000, 0
293, -5333.3330, 0
294, -5316.6670, 0
295, -5300.0000, 0
296, -5283.3330, 0
297, -5266.6670, 0
298, -5250.0000, 0
299, -5233.3330, 0
300, -5216.6670, 0
301, -5200.0000, 0
302, -5183.3330, 0
303, -5166.6660, 0
304, -5150.0000, 0
305, -5133.3330, 0
306, -5116.6670, 0
307, -5100.0000, 0
308, -5083.3330, 0
309, -5066.6670, 0
310, -5050.0000, 0
311, -5033.3330, 0
312, -5016.6670, 0
313, -5000.0000, 0
314, -4983.3330, 0
315, -4966.6670, 0
316, -4950.0000, 0
317, -4933.3330, 0
318, -4916.6660, 0
319, -4900.0000, 0
320, -4883.3330, 0
321, -4866.6670, 0
322, -4850.0000, 0
323, -4833.3330, 0
324, -4816.6670, 0
325, -4800.0000, 0
326, -4783.3330, 0
327, -4766.6670, 0
328, -4750.0000, 0
329, -4733.3330, 0
330, -4716.6670, 0
331, -4700.0000, 0
332, -4683.3330, 0
333, -4666.6660, 0
334, -4650.0000, 0
335, -4633.3330, 0
336, -4616.6670, 0
337, -4600.0000, 0
338, -4583.3330, 0
339, -4566.6670, 0
340, -4550.0000, 0
341, -4533.3330, 0
342, -4516.6670, 0
343, -4500.0000, 0
344, -4483.3330, 0
345, -4466.6670, 0
346, -4450.0000, 0
347, -4433.3330, 0
348, -4416.6660, 0
349, -4400.0000, 0
350, -4383.3330, 0
351, -4366.6670, 0
352, -4350.0000, 0
353, -4333.3330, 0
354, -4316.6670, 0
355, -4300.0000, 0
356, -4283.3330, 0
357, -4266.6660, 0
358, -4250.0000, 0
359, -4233.3330, 0
360, -4216.6670, 0
361, -4200.0000, 0
362, -4183.3330, 0
363, -4166.6660, 0
364, -4150.0000, 0
365, -4133.3330, 0
366, -4116.6670, 0
367, -4100.0000, 0
368, -4083.3330, 0
369, -4066.6670, 0
370, -4050.0000, 0
371, -4033.3330, 0
372, -4016.6660, 0
373, -4000.0000, 0
374, -3983.3330, 0
375, -3966.6670, 0
376, -3950.0000, 0
377, -3933.3330, 0
378, -3916.6660, 0
379, -3900.0000, 0
380, -3883.3330, 0
381, -3866.6670, 0
382, -3850.0000, 0
383, -3833.3330, 0
384, -3816.6670, 0
385, -3800.0000, 0
386, -3783.3330, 0
387, -3766.6660, 0
388, -3750.0000, 0
389, -3733.3330, 0
390, -3716.6670, 0
391, -3700.0000, 0
392, -3683.3330, 0
393, -3666.6660, 0
394, -3650.0000, 0
395, -3633.3330, 0
396, -3616.6670, 0
397, -3600.0000, 0
398, -3583.3330, 0
399, -3566.6670, 0
400, -3550.0000, 0
401, -3533.3330, 0
402, -3516.6660, 0
403, -3500.0000, 0
404, -3483.3330, 0
405, -3466.6670, 0
406, -3450.0000, 0
407, -3433.3330, 0
408, -3416.6660, 0
409, -3400.0000, 0
410, -3383.3330, 0
411, -3366.6670, 0
412, -3350.0000, 0
413, -3333.3330, 0
414, -3316.6670, 0
415, -3300.0000, 0
416, -3283.3330, 0
417, -3266.6660, 0
418, -3250.0000, 0
419, -3233.3330, 0
420, -3216.6670, 0
421, -3200.0000, 0
422, -3183.3330, 0
423, -3166.6660, 0
424, -3150.0000, 0
425, -3133.3330, 0
426, -3116.6670, 0
427, -3100.0000, 0
428, -3083.3330, 0
429, -3066.6670, 0
430, -3050.0000, 0
431, -3033.3330, 0
432, -3016.6660, 0
433, -3000.0000, 0
434, -2983.3330, 0
435, -2966.6670, 0
436, -2950.0000, 0
437, -2933.3330, 0
438, -2916.6660, 0
439, -2900.0000, 0
440, -2883.3330, 0
441, -2866.6670, 0
442, -2850.0000, 0
443, -2833.3330, 0
444, -2816.6670, 0
445, -2800.0000, 0
446, -2783.3330, 0
447, -2766.6660, 0
448, -2750.0000, 0
449, -2733.3330, 0
450, -2716.6670, 0
451, -2700.0000, 0
452, -2683.3330, 0
453, -2666.6660, 0
454, -2650.0000, 0
455, -2633.3330, 0
456, -2616.6670, 0
457, -2600.0000, 0
458, -2583.3330, 0
459, -2566.6670, 0
460, -2550.0000, 0
461, -2533.3330, 0
462, -2516.6660, 0
463, -2500.0000, 0
464, -2483.3330, 0
465, -2466.6670, 0
466, -2450.0000, 0
467, -2433.3330, 0
468, -2416.6660, 0
469, -2400.0000, 0
470, -2383.3330, 0
471, -2366.6660, 0
472, -2350.0000, 0
473, -2333.3330, 0
474, -2316.6670, 0
475, -2300.0000, 0
476, -2283.3330, 0
477, -2266.6660, 0
478, -2250.0000, 0
479, -2233.3330, 0
480, -2216.6670, 0
481, -2200.0000, 0
482, -2183.3330, 0
483, -2166.6660, 0
484, -2150.0000, 0
485, -2133.3330, 0
486, -2116.6660, 0
487, -2100.0000, 0
488, -2083.3330, 0
489, -2066.6660, 0
490, -2050.0000, 0
491, -2033.3330, 0
492, -2016.6670, 0
493, -1999.9990, 0
494, -1983.3330, 0
495, -1966.6660, 0
496, -1950.0000, 0
497, -1933.3330, 0
498, -1916.6660, 0
499, -1900.0000, 0
500, -1883.3320, 0
501, -1866.6660, 0
502, -1850.0000, 0
503, -1833.3330, 0
504, -1816.6660, 0
505, -1799.9990, 0
506, -1783.3330, 0
507, -1766.6670, 0
508, -1749.9990, 0
509, -1733.3330, 0
510, -1716.6660, 0
511, -1700.0000, 0
512, -1683.3330, 0
513, -1666.6660, 0
514, -1650.0000, 0
515, -1633.3320, 0
516, -1616.6660, 0
